"Komentarz","Sentyment"
"Obsługa w urzędzie była szybka i miła, aż się zdziwiłem!","True"
"Godziny czekania, a pani w okienku jeszcze niemiła.","False"
"Zwykła wizyta, nic specjalnego, załatwiłem co trzeba.","False"
"Pani urzędniczka bardzo pomocna, wszystko jasno wyjaśniła.","True"
"Totalny chaos, nikt nie wie, co robić.","False"
"Spodziewałem się gorszego, a poszło gładko.","True"
"Niekompetencja na każdym kroku, tragedia.","False"
"Długa kolejka, ale obsługa w miarę uprzejma.","False"
"Wspaniała obsługa, załatwili mi sprawę w 10 minut!","True"
"Zero informacji, musiałem sam wszystkiego szukać.","False"
"Urzędnicy bardzo życzliwi, aż miło tam wrócić.","True"
"Pani w okienku opryskliwa, zero szacunku.","False"
"Średnio, mogliby się bardziej postarać.","False"
"Super podejście do petenta, pełen profesjonalizm.","True"
"Czekałem godzinę, żeby usłyszeć, że to nie ten urząd.","False"
"Bezproblemowo, szybko i z uśmiechem.","True"
"Brak organizacji, ludzie odsyłani z kwitkiem.","False"
"Miła niespodzianka, urzędnik sam zaproponował pomoc.","True"
"Papierologia bez sensu, a obsługa jeszcze gorsza.","False"
"Sprawnie i konkretnie, takich urzędów nam trzeba!","True"
"Trzy różne odpowiedzi od trzech osób, masakra.","False"
"Obsługa na poziomie, nie mam zastrzeżeń.","True"
"Kolejka na pół dnia, a potem jeszcze chamstwo.","False"
"Neutralne podejście, ani źle, ani dobrze.","False"
"Rewelacja, pani nawet podpowiedziała, co mogę zrobić.","True"
"Zero empatii, traktują człowieka jak numer.","False"
"Dobrze zorganizowane, szybko załatwione.","True"
"Urzędnik nie wiedział, o co chodzi w mojej sprawie.","False"
"Pomocna obsługa, wszystko załatwione od ręki.","True"
"Czekanie bez końca, a potem brak przeprosin.","False"
"Sympatyczni ludzie, aż dziw, że to urząd.","True"
"Pani w okienku patrzyła na mnie jak na intruza.","False"
"Standardowa wizyta, bez rewelacji.","False"
"Fantastyczne podejście, urzędnik sam przyspieszył sprawę.","True"
"Kompletny brak szacunku dla czasu petenta.","False"
"Szybko, sprawnie i uprzejmie – brawo!","True"
"Urzędnicy niekompetentni, każdy mówi co innego.","False"
"Miłe zaskoczenie, wszystko poszło jak po maśle.","True"
"Godzinne czekanie na głupią pieczątkę.","False"
"Obsługa pierwsza klasa, aż chce się tam wracać.","True"
"Zero komunikacji, musiałem biegać między pokojami.","False"
"Pani bardzo miła, pomogła wypełnić wniosek.","True"
"Tragedia, nikt nie wie, gdzie co załatwić.","False"
"Świetna organizacja, żadnych problemów.","True"
"Chamstwo i ignorancja, najgorszy urząd ever.","False"
"Prosto, szybko i bez zbędnych pytań.","True"
"Długo czekałem, ale przynajmniej pani była uprzejma.","False"
"Rewelacyjna obsługa, takich ludzi więcej!","True"
"Urzędnik nawet nie podniósł wzroku znad biurka.","False"
"Sprawnie załatwione, bez żadnych komplikacji.","True"
"Totalna porażka, strata czasu.","False"
"Pani w okienku bardzo sympatyczna, aż miło.","True"
"Nie wiedzą, co robią, a jeszcze się obrażają.","False"
"Świetne podejście do człowieka, pełna kultura.","True"
"Kolejki jak za komuny, zero szacunku.","False"
"Obsługa na medal, szybko i konkretnie.","True"
"Żadnej pomocy, tylko odsyłanie od drzwi do drzwi.","False"
"Pani urzędniczka uśmiechnięta i pomocna.","True"
"Kompletny brak organizacji, wstyd.","False"
"Super, że tak dobrze traktują petentów.","True"
"Czekałem dwie godziny na nic.","False"
"Obsługa rewelacyjna, zero stresu.","True"
"Urzędnik nie miał pojęcia, o co pytam.","False"
"Miło, szybko i profesjonalnie – polecam!","True"
"Pani rzuciła papierami i kazała przyjść jutro.","False"
"Bez zarzutu, wszystko załatwione w mig.","True"
"Totalny bałagan, nikt nic nie wie.","False"
"Obsługa bardzo uprzejma, aż się zdziwiłem.","True"
"Zero zainteresowania, traktują jak śmiecia.","False"
"Sprawnie i z klasą, takich urzędów potrzeba.","True"
"Godzina w kolejce, a potem odmowa bez powodu.","False"
"Pani bardzo pomocna, rozwiązała mój problem.","True"
"Masakra, najgorsza obsługa w życiu.","False"
"Świetnie zorganizowane, petent jest tu ważny.","True"
"Urzędnik olał sprawę, musiałem sam kombinować.","False"
"Obsługa na najwyższym poziomie, brawo!","True"
"Dwie godziny czekania na głupi podpis.","False"
"Pani w okienku miła i kompetentna.","True"
"Chaos i brak szacunku, nigdy więcej tam nie idę.","False"
"Szybko załatwione, urzędnik bardzo pomocny.","True"
"Zero informacji, zero pomocy.","False"
"Rewelacja, obsługa z uśmiechem i klasą.","True"
"Urzędnicy nie wiedzą, co robią.","False"
"Prosto i przyjemnie, aż miło załatwiać sprawy.","True"
"Kolejka na godzinę, a potem jeszcze pretensje.","False"
"Obsługa świetna, pełen szacunek dla petenta.","True"
"Kompletna ignorancja, strata czasu.","False"
"Miła pani wszystko wyjaśniła, super!","True"
"Tragedia, nikt nie chce pomóc.","False"
"Sprawnie i konkretnie, takich urzędów więcej.","True"
"Urzędnik patrzył na mnie jak na idiotę.","False"
"Obsługa na poziomie, bardzo pozytywnie.","True"
"Długie czekanie, zero przeprosin.","False"
"Pani w okienku rewelacyjna, pomogła od razu.","True"
"Bałagan i chamstwo, najgorszy urząd.","False"
"Świetna obsługa, szybko i bez problemów.","True"
"Zero organizacji, petent nikogo nie obchodzi.","False"
"Obsługa miła i profesjonalna, aż miło.","True"
"Trzy godziny czekania na nic.","False"
"Pani wyjaśniła wszystko krok po kroku, rewelacja!","True"
"Zero porządku, każdy odsyła gdzie indziej.","False"
"Obsługa konkretna, załatwili sprawę od razu.","True"
"Czekałem godzinę, a potem powiedzieli, że brak dokumentów.","False"
"Sympatyczna urzędniczka, aż przyjemnie załatwiać.","True"
"Kompletna dezorganizacja, nikt nie wie, co jest grane.","False"
"Szybko i bez komplikacji, pełen szacunek.","True"
"Pani w okienku warknęła i kazała czekać.","False"
"Świetne podejście, urzędnik sam sprawdził szczegóły.","True"
"Godziny w kolejce, a na koniec brak pomocy.","False"
"Obsługa na wysokim poziomie, aż się zdziwiłem.","True"
"Urzędnik nie wiedział, gdzie mnie skierować.","False"
"Prosto i miło, takich ludzi potrzeba w urzędach.","True"
"Kolejka bez sensu, a obsługa jeszcze gorsza.","False"
"Pani bardzo uprzejma, rozwiązała problem w minutę.","True"
"Brak jakiejkolwiek informacji, chaos totalny.","False"
"Super obsługa, petent czuje się doceniony.","True"
"Dwie godziny czekania, a potem odmowa bez wyjaśnienia.","False"
"Urzędniczka z uśmiechem, aż miło odwiedzić urząd.","True"
"Zero kompetencji, strata czasu.","False"
"Szybko załatwione, pełen profesjonalizm.","True"
"Pani rzuciła okiem i odesłała mnie do innego pokoju.","False"
"Obsługa fantastyczna, wszystko jasne i klarowne.","True"
"Czekanie bez końca, a potem brak przeprosin.","False"
"Miłe zaskoczenie, urzędnik naprawdę pomocny.","True"
"Urzędnicy olewają petentów, zero szacunku.","False"
"Sprawnie i z klasą, takich urzędów więcej!","True"
"Godzinne stanie w kolejce na darmo.","False"
"Pani w okienku bardzo sympatyczna, aż dziw.","True"
"Totalny brak organizacji, każdy mówi co innego.","False"
"Obsługa na medal, petent jest tu ważny.","True"
"Urzędnik nawet nie słuchał, co mówię.","False"
"Szybko i konkretnie, żadnych problemów.","True"
"Kolejka na pół dnia, a obsługa opryskliwa.","False"
"Rewelacyjne podejście, pani sama zaproponowała rozwiązanie.","True"
"Zero informacji, musiałem sam biegać po urzędzie.","False"
"Świetna obsługa, załatwili sprawę w mig.","True"
"Pani w okienku patrzyła na mnie jak na wroga.","False"
"Proste i przyjemne załatwienie sprawy.","True"
"Chamstwo i ignorancja na każdym kroku.","False"
"Obsługa pierwsza klasa, pełen komfort.","True"
"Czekałem godzinę, żeby usłyszeć, że to nie tu.","False"
"Pani urzędniczka miła i kompetentna, brawo!","True"
"Brak porządku, nikt nie wie, co robić.","False"
"Szybko, uprzejmie i bez stresu.","True"
"Urzędnik nie miał pojęcia, o co pytam.","False"
"Obsługa rewelacyjna, aż miło wracać.","True"
"Kolejki jak za dawnych lat, zero szacunku.","False"
"Pani bardzo pomocna, wszystko wyjaśnione.","True"
"Totalna porażka, nikt nie chce pomóc.","False"